names,lat,lon,years,sea_level_change
BREST,48.38,-4.49,2020,60.0
BREST,48.38,-4.49,2030,107.0
BREST,48.38,-4.49,2040,166.0
BREST,48.38,-4.49,2050,239.0
BREST,48.38,-4.49,2060,313.0
BREST,48.38,-4.49,2070,402.0
BREST,48.38,-4.49,2080,502.0
BREST,48.38,-4.49,2090,620.0
BREST,48.38,-4.49,2100,749.0
BREST,48.38,-4.49,2110,814.0
BREST,48.38,-4.49,2120,923.0
BREST,48.38,-4.49,2130,1029.0
BREST,48.38,-4.49,2140,1130.0
BREST,48.38,-4.49,2150,1228.0
SWINOUJSCIE,53.92,14.23,2020,72.0
SWINOUJSCIE,53.92,14.23,2030,130.0
SWINOUJSCIE,53.92,14.23,2040,200.0
SWINOUJSCIE,53.92,14.23,2050,278.0
SWINOUJSCIE,53.92,14.23,2060,358.0
SWINOUJSCIE,53.92,14.23,2070,454.0
SWINOUJSCIE,53.92,14.23,2080,563.0
SWINOUJSCIE,53.92,14.23,2090,686.0
SWINOUJSCIE,53.92,14.23,2100,820.0
SWINOUJSCIE,53.92,14.23,2110,890.0
SWINOUJSCIE,53.92,14.23,2120,1006.0
SWINOUJSCIE,53.92,14.23,2130,1120.0
SWINOUJSCIE,53.92,14.23,2140,1230.0
SWINOUJSCIE,53.92,14.23,2150,1336.0
SHEERNESS,51.45,0.74,2020,67.0
SHEERNESS,51.45,0.74,2030,118.0
SHEERNESS,51.45,0.74,2040,180.0
SHEERNESS,51.45,0.74,2050,256.0
SHEERNESS,51.45,0.74,2060,334.0
SHEERNESS,51.45,0.74,2070,422.0
SHEERNESS,51.45,0.74,2080,526.0
SHEERNESS,51.45,0.74,2090,644.0
SHEERNESS,51.45,0.74,2100,778.0
SHEERNESS,51.45,0.74,2110,844.0
SHEERNESS,51.45,0.74,2120,956.0
SHEERNESS,51.45,0.74,2130,1062.0
SHEERNESS,51.45,0.74,2140,1167.0
SHEERNESS,51.45,0.74,2150,1267.0
HOLYHEAD,53.31,-4.62,2020,62.0
HOLYHEAD,53.31,-4.62,2030,110.0
HOLYHEAD,53.31,-4.62,2040,168.0
HOLYHEAD,53.31,-4.62,2050,236.0
HOLYHEAD,53.31,-4.62,2060,308.0
HOLYHEAD,53.31,-4.62,2070,394.0
HOLYHEAD,53.31,-4.62,2080,490.0
HOLYHEAD,53.31,-4.62,2090,599.0
HOLYHEAD,53.31,-4.62,2100,720.0
