names,lat,lon
BREST,48.38,-4.49
SWINOUJSCIE,53.92,14.23
SHEERNESS,51.45,0.74
HOLYHEAD,53.31,-4.62
CUXHAVEN_2,53.87,8.72
WISMAR_2,53.9,11.46
MAASSLUIS,51.92,4.25
SAN_FRANCISCO,37.81,-122.47
WARNEMUNDE_2,54.17,12.1
NEW_YORK,40.7,-74.01
TRAVEMUNDE,53.96,10.87
HELSINKI,60.15,24.96
LIVERPOOL_GEORGES_AND_PRINCES_PIERS,53.4,-3.0
LYOKKI,60.85,21.18
LYPYRTTI,60.6,21.23
JUNGFRUSUND,59.95,22.37
VLISSINGEN,51.44,3.6
ABERDEEN_II,57.15,-2.08
HOEK_VAN_HOLLAND,51.98,4.12
DEN_HELDER,52.96,4.75
DELFZIJL,53.33,6.93
HARLINGEN,53.18,5.41
LIEPAJA,56.53,20.98
UTO,59.78,21.37
RUSSARO,59.77,22.95
SODERSKAR,60.12,25.42
RONNSKAR,63.07,20.8
NEDRE_SODERTALJE,59.2,17.62
IJMUIDEN,52.46,4.55
OSCARSBORG,59.68,10.6
TRONDHEIM,63.43,10.43
DAUGAVGRIVA,57.05,24.03
VENEZIA,45.42,12.33
POTI,42.17,41.68
SEVASTOPOL,44.62,33.53
MUMBAI,18.92,72.83
ADEN,12.79,44.97
KABELVAG,68.21,14.48
STAVANGER,58.97,5.73
KIDDERPORE,22.53,88.33
BATUMI,41.63,41.7
CASCAIS,38.68,-9.42
VAASA,63.08,21.57
BERGEN,60.4,5.32
GENOVA,44.4,8.9
MARSEILLE,43.28,5.35
OSLO,59.91,10.73
KOBBAKLINTAR,60.03,19.88
GDANSK/NOWY_PORT,54.4,18.68
SYDNEY,-33.85,151.23
LANDSORT,58.74,17.87
OLANDS_NORRA_UDDE,57.37,17.1
KUNGSHOLMSFORT,56.11,15.59
HANKO,59.82,22.98
YSTAD,55.42,13.82
VARBERG,57.1,12.22
AARHUS,56.15,10.22
GRONSKAR,59.28,19.03
STOCKHOLM,59.32,18.08
OULU,65.04,25.42
ESBJERG,55.46,8.44
FREDERICIA,55.56,9.75
KOBENHAVN,55.7,12.6
VYBORG,60.7,28.73
LEMSTROM,60.1,20.02
YKSPIHLAJA,63.83,23.03
RATAN,63.99,20.89
HIRTSHALS,57.6,9.96
BJORN,60.63,17.97
FREDERIKSHAVN,57.44,10.55
TONOURA,34.9,132.07
NORTH_SHIELDS,55.01,-1.44
HALIFAX,44.67,-63.58
BACKEVIK,58.37,11.25
SLIPSHAVN,55.29,10.83
NEDRE_GAVLE,60.68,17.17
CAGLIARI,39.2,9.17
NAPOLI,40.84,14.26
CIVITAVECCHIA,42.05,11.82
PALERMO,38.13,13.33
PORTO_MAURIZIO,43.87,8.02
FREMANTLE,-32.06,115.74
FERNANDINA_BEACH,30.67,-81.47
KORSOR,55.33,11.14
KLAIPEDA,55.7,21.13
HORNBAEK,56.09,12.46
GEDSER,54.57,11.93
DRAGHALLAN,62.37,17.53
TROIS-RIVIERES,46.33,-72.55
SEATTLE,47.6,-122.34
ABURATSUBO,35.16,139.62
AYUKAWA,38.3,141.51
WAJIMA,37.41,136.9
HOSOJIMA,32.43,131.67
KUSHIMOTO,33.48,135.77
PHILADELPHIA,39.93,-75.14
PORT-SAINT-FRANCOIS,46.27,-72.62
POINTE-AU-PERE,48.52,-68.47
HANASAKI,43.28,145.58
STROMSTAD,58.95,11.18
SKURU,60.1,23.55
BATISCAN,46.5,-72.25
MANILA,14.58,120.97
HEL,54.6,18.8
BALTIMORE,39.27,-76.58
AUCKLAND_II,-36.84,174.77
TRIESTE,45.65,13.76
HONOLULU,21.31,-157.87
BUENOS_AIRES,-34.6,-58.37
SAN_DIEGO,32.71,-117.17
OSHORO_I,43.22,140.87
GALVESTON_II,29.31,-94.79
LAGOS,37.1,-8.67
BALBOA,8.97,-79.57
KOTKA,60.45,26.95
TOFINO,49.15,-125.92
VICTORIA,48.42,-123.37
PRINCE_RUPERT,54.32,-130.33
CRISTOBAL,9.35,-79.92
MANTYLUOTO,61.59,21.46
QUEBEC,46.83,-71.17
KO_LAK,11.8,99.82
VANCOUVER,49.28,-123.12
HARRINGTON_HBR,50.5,-59.48
SMOGEN,58.35,11.22
ATLANTIC_CITY,39.35,-74.42
PORTLAND ,43.66,-70.25
KEY_WEST,24.55,-81.81
PORT_HEDLAND,-20.32,118.57
DUNBAR,56.01,-2.52
NEUVILLE,46.7,-71.57
POINT_ATKINSON,49.33,-123.25
PIETARSAARI ,63.71,22.69
SAINT_JOHN,45.27,-66.07
DESCHAILLONS,46.57,-72.1
NEWLYN,50.1,-5.54
FURUOGRUND,64.92,21.23
KARACHI,24.81,66.97
CHENNAI,13.1,80.3
ALICANTE,38.34,-0.48
CADIZ_II,36.53,-6.31
RANGOON,16.77,96.17
BLUFF,-46.6,168.35
FELIXSTOWE,51.96,1.35
TUAPSE,44.1,39.07
PORT_PIRIE,-33.18,138.01
AUCKLAND-WAITEMATA_HARBOUR,-36.84,174.77
BELFAST_2,54.6,-5.92
WELLINGTON_HARBOUR,-41.28,174.78
QUEQUEN,-38.58,-58.7
LEWES,38.78,-75.12
KETCHIKAN,55.33,-131.62
SAPPI,61.48,21.33
SUR_SARI,60.08,26.98
KEMI,65.67,24.52
PORT_LINCOLN,-34.72,135.87
HELIGMAN,60.2,19.3
CHARLESTON_I,32.78,-79.92
BOSTON,42.35,-71.05
WEST-TERSCHELLING,53.36,5.22
PRIMORSK,60.35,28.62
TVARMINNE,59.85,23.25
TURKU,60.43,22.1
RAAHE,64.67,24.41
LOS_ANGELES,33.72,-118.27
PENSACOLA,30.4,-87.21
PORT_LYTTELTON,-43.61,172.72
JOHOR_BAHRU,1.46,103.79
FOGLO,60.03,20.38
PORT_SAID,31.25,32.3
DOVER,51.11,1.32
LA_JOLLA,32.87,-117.26
PONTA_DELGADA,37.74,-25.67
LYTTELTON_II,-43.61,172.72
JOLO,6.07,121.0
ASTORIA,46.21,-123.77
SEWARD,60.12,-149.43
NEWCASTLE_III,-32.92,151.8
MACAU,22.2,113.55
DAYTONA_BEACH,29.23,-81.0
MOMMARK,54.93,10.07
DURBAN,-29.87,31.05
KASKINEN,62.34,21.21
IMMINGHAM,53.63,-0.19
SEAVEY_ISLAND,43.08,-70.74
PIONERSKY,54.95,20.22
SEWELLS_POINT,36.95,-76.33
HILO,19.73,-155.06
TREGDE,58.01,7.55
SANTA_CRUZ_DE_TENERIFE_I,28.48,-16.24
YAMBA,-29.43,153.36
ANNAPOLIS,38.98,-76.48
NARVIK,68.43,17.43
HEIMSJO,63.43,9.1
STORNOWAY,58.21,-6.39
HAMINA,60.56,27.18
MAYPORT,30.39,-81.43
BOURGAS,42.48,27.48
VARNA,43.18,27.92
NEWCASTLE_I,-32.92,151.8
KLAGSHAMN,55.52,12.89
TAKORADI,4.88,-1.75
EASTPORT,44.9,-66.98
NORTH_POINT,22.3,114.2
SOUTHEND,51.51,0.72
TILBURY,51.47,0.37
TOWER_PIER,51.5,0.08
PORTSMOUTH,50.8,-1.11
NEWPORT,41.51,-71.33
SPLIT - GRADSKA_LUKA,43.51,16.44
BAKAR,45.3,14.53
MERA,34.92,139.82
WASHINGTON_DC,38.87,-77.02
ABERDEEN_I,57.14,-2.08
WILLETS_POINT,40.79,-73.78
MIAMI_BEACH,25.77,-80.13
SANDY_HOOK,40.47,-74.01
WOODS_HOLE,41.52,-70.67
ST. GEORGES,32.37,-64.7
GARDEN_REACH,22.55,88.3
THESSALONIKI,40.63,22.93
PIRAIEVS,37.94,23.63
KAVALLA,40.93,24.41
RAUMA,61.13,21.43
SANTA_MONICA,34.01,-118.5
CRESCENT_CITY,41.74,-124.18
CONSTANTZA,44.17,28.67
FRIDAY_HARBOR,48.55,-123.01
NEAH_BAY,48.37,-124.61
THEVENARD,-32.15,133.64
GRONDINES,46.58,-72.03
PORT_AUX_BASQUES,47.57,-59.13
ST. JOHN'S,47.57,-52.72
CEBU,10.3,123.92
FORT_PULASKI,32.03,-80.9
WILMINGTON,34.23,-77.95
SASSNITZ,54.51,13.64
KJOLSDAL,61.92,5.63
NEVLUNGHAVN,58.97,9.88
JUNEAU,58.3,-134.41
UCHIURA,35.02,138.89
KHIOS,38.37,26.14
POSIDHONIA,37.95,22.96
PREVEZA,38.96,20.76
KALAMAI,37.02,22.12
SOLOMON'S_ISLAND,38.32,-76.45
OOSTENDE,51.23,2.92
VISAKHAPATNAM,17.68,83.28
SAUGOR/SAGAR,21.65,88.05
GUANTANAMO_BAY,19.91,-75.15
BHAUNAGAR_I,21.8,72.3
ANDENES,69.33,16.13
SITKA,57.05,-135.34
CHARLOTTETOWN,46.23,-63.12
CEDAR_KEY_II,29.14,-83.03
NEW_LONDON,41.36,-72.09
PROVIDENCE,41.81,-71.4
MONTEVIDEO,-34.9,-56.25
DUBLIN,53.35,-6.22
COLONIA,-34.48,-57.85
PUNTA_DEL_ESTE,-34.97,-54.95
DOUGLAS,54.15,-4.47
ALAMEDA,37.77,-122.3
COCHIN,9.97,76.27
EUGENE_ISLAND,29.37,-91.39
FORT_PHRACHULA_CHOMKLAO,13.55,100.58
YAKUTAT,59.55,-139.73
KO_TAPHAO_NOI,7.83,98.43
CHURCHILL,58.77,-94.18
PORT_ADELAIDE,-34.78,138.48
KO_SICHANG,13.15,100.82
LE_HAVRE,49.48,0.11
ST. MALO,48.64,-2.03
CALAIS,50.97,1.87
BUENAVENTURA,3.9,-77.1
ST. NAZAIRE,47.27,-2.2
MATARANI,-17.0,-72.12
HACHINOHE_I,40.53,141.53
RICHMOND,37.57,-77.45
MIYAKO_I,39.63,141.97
PUNTARENAS,9.97,-84.83
LA_ROCHELLE-LA_PALLICE,46.16,-1.22
CHERBOURG,49.65,-1.64
DUNKERQUE,51.05,2.37
ST_JEAN_DE_LUZ,43.4,-1.68
ZEEBRUGGE,51.35,3.2
BOULOGNE,50.73,1.58
DIEPPE,49.93,1.08
TALARA,-4.62,-81.28
PORT_LOUIS,-20.15,57.5
VIGO,42.24,-8.73
LA_CORUNA_I,43.37,-8.4
SANTANDER_I,43.46,-3.79
MALOY,61.93,5.11
ADAK  SWEEPER_COVE,51.86,-176.63
TARIFA,36.01,-5.6
NIEUWPOORT,51.15,2.73
ALGECIRAS,36.12,-5.43
