names,country
NEW_YORK,US
BOSTON,US
LOS_ANGELES,US
SAN_FRANCISCO,US
MIAMI_BEACH,US
NAPLES,US
SANTA_MONICA,US
SANTA_BARBARA,US
RINCON_ISLAND,US
SEATTLE,US
PHILADELPHIA,US
NEW_LONDON,US
BALTIMORE,US
HONOLULU,US
SAN_DIEGO,US
QUEBEC,CA
HALIFAX,CA
VANCOUVER,CA
PORT-SAINT-FRANCOIS,CA
OSAKA,JP
HIROSIMA,JP
TOKYO_III,JP
OKINAWA,JP
NAGASAKI,JP
HACHINOHE_I,JP
HAKODATE_I,JP
SAKAI,JP
KUSHIRO,JP
NAGOYA,JP
NAHA,JP
ALGECIRAS,ES
BILBAO,ES
ALICANTE,ES
BARCELONA,ES
MALAGA,ES
GIJON_II,ES
SANTANDER_I,ES
GIBRALTAR,ES
BONANZA,ES
ALMERIA,ES
CADIZ_II,ES
VALENCIA,ES
L'ESTARTIT,ES
PALMA_DE_MALLORCA,ES
ABERDEEN_I,GB
BOURNEMOUTH,GB
FELIXSTOWE,GB
WEYMOUTH,GB
LIVERPOOL_GEORGES_AND_PRINCES_PIERS,GB
BIRKENHEAD,GB
KIEL-HOLTENAU,DE
WARNEMUNDE_2,DE
GDANSK/NOWY_PORT,PL
VLISSINGEN,NL
MAASSLUIS,NL
IJMUIDEN,NL
MARSEILLE,FR
BOULOGNE,FR
ST. NAZAIRE,FR
SETE,FR
PORT_VENDRES,FR
MONACO,MC
BAKAR,HR
NAPOLI,IT
VENEZIA,IT
PALERMO,IT
TRIESTE,IT
CAGLIARI,IT
GENOVA,IT
CIVITAVECCHIA,IT
STOCKHOLM,SE
GOTEBORG - TORSHAMNEN,SE
HELSINKI,FI
OSLO,NO
NY-ALESUND,NO
BERGEN,NO
NEVLUNGHAVN,NO
HARSTAD,NO
AARHUS,DK
ESBJERG,DK
LEIXOES,PT
CASCAIS,PT
SINES,PT
DUBLIN,IE
BELFAST_2,IE
RHODOS,GR
AUCKLAND_II,NZ
WELLINGTON_HARBOUR,NZ
PORT_CHALMERS,NZ
BRISBANE,AU
SYDNEY,AU
PORT_ADELAIDE,AU
NEWCASTLE_I,AU
TANJONG_PAGAR,SG
ACAPULCO,MX
CABO_SAN_LUCAS,MX
ENSENADA,MX
BUENOS_AIRES,AR
CAPE_TOWN,ZA
DURBAN,ZA
